Nombre sede;Dirección;Nivel de atención;Latitud;Longitud
Clínica la Inmaculada;KR 7 68 70;II;4.65319721;-74.05726314
Centro de Atención en Salud Cafam Floresta;AK 68 90 88;I;4.685731816;-74.07440845
Centro de Atención en Salud Cafam Suba;KR 113 C 142 A 98;I;4.74833602;-74.10322024
Fundación Santa Fe de Bogotá;CL 119 7 75;III;4.695541649;-74.03319001
Hospital Universitario Clínica San Rafael;KR 8 17 45 SUR;III;4.576655061;-74.09131428
Fundación Hospital de la Misericordia;AK 14 1 65;III;4.59257988;-74.08833221
Clínica de Nuestra Señora de La Paz;KR 69 12 75;II;4.63603052;-74.12187522
Instituto Nacional de Cancerología;Cl 1 9 85;III;4.588330854;-74.0845416
Fundación Abood Shaio;DG 115 A 70 C 75;III;4.698099376;-74.07306244
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá;AK 68 68 B 31;III;4.673248112;-74.08933083
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Norte;AC 134 7 B 41;II;4.71289293;-74.03261904
Cruz Roja Colombiana Seccional Cundinamarca Y Bogotá Sede Alquería;AK 68 31 41 SUR;II;4.607137562;-74.13094422
Clínica Nueva;CL 45 F 16 A 11;II;4.63426156;-74.07096117
Salud Sura Calle 100 Bogotá;Cl 100 19 A 35;III;4.68719056;-74.05355502
Clínica de La Mujer;KR 19 C 91 17;III;4.677681024;-74.05725003
Clínica Infantil Colsubsidio;CL 66 10 48;III;4.652110294;-74.06108381
Centro Médico Colsubsidio Quiroga;CL 38 SUR 18 30;I;4.576534331;-74.11845225
Clínica de Ortopedia Y Accidentes Laborales;CL 6 A 70 06;III;4.63052466;-74.13091643
Sociedad de Cirugía de Bogotá - Hospital de San José;CL 10 18 75;III;4.603340282;-74.08636686
Clínica Palermo;CL 45 C 22 02;II;4.636173439;-74.07388538
Clínica Juan N Corpas Ltda;KR 111 159 A 61;III;4.76076659;-74.09259788
Fundación Cardio Infantil Instituto de Cardiología;CL 163 A 13 B 60;III;4.741852157;-74.03404093
Centro Policlínico Del Olaya;KR 20 23 23 SUR;II;4.583317769;-74.10552823
Clínica Infantil Santa María Del Lago;CL 73 A 76 66;III;4.69196272;-74.09812276
Clínica Reina Sofia Pediátrica Y Mujer;Ac 127 20 56;III;4.706511864;-74.05085662
Clínica Reina Sofia;KR 21 127 03;III;4.706858552;-74.05188983
Clínica Universitaria Colombia;CL 23 66 46;III;4.648023533;-74.10644576
Empresa Social Del Estado Hospital Universitario de la Samaritana;KR 8 0 29 SUR;III;4.587251741;-74.08371868
Clínica de Marly;CL 50 9 67;III;4.636601684;-74.06508256
Hospital Universitario San Ignacio;KR 7 40 62;III;4.62955675;-74.06544489
Virrey Solis Ips S.A - Clínica Suba;AC 145 95 B 22;II;4.740914806;-74.08858869
Virrey Solis Ips.S.A. Calle 98;KR 49 98 A 28;II;4.686812913;-74.0607537
Virrey Solis I.P.S S.A. Américas;AV LAS AMERICAS 66 A 27;II;4.627712374;-74.12139004
Clínica Del Country IPS;KR 16 82 57;III;4.668923672;-74.05690139
Clínica Del Occidente S.A.;AV DE LAS AMERICAS 71 C 29;III;4.629379569;-74.13577069
Fundación Hospital Infantil Universitario de San José;KR 52 67 A 71;III;4.665078432;-74.07892561
Hospital Militar Central;TV 3C 49 02;III;4.63566437;-74.0623356
Hospital Universitario Barrios Unidos-Mederi;CL 66 A 52 25;III;4.66379628;-74.08011198
Hospital Universitario Mayor-Mederi;CL 24 29 45;III;4.623426482;-74.08220332
Clínica Medicentro Familiar Sede Suba;KR 94B 132A 65;I;4.732732336;-74.0892058
Medicentro Familiar Ips SAS;CL 20 98 62;I;4.674393381;-74.14212554
Clínica Medical SAS - Sede Toberin;KR 21 169 15;II;4.749845655;-74.04421046
Clínica Medical S.A.S. Sede Santa Juliana;CL 1D 17A 35;II;4.593035923;-74.0902402
Clínica Medical S.A.S.;CL 36 Sur 77 33;II;4.621861977;-74.14959202
Administradora Clínica La Colina SAS;CL 167 72 07;III;4.750129591;-74.06544507
Clínica Los Nogales SAS;CL 95 23 61;III;4.682972907;-74.05708076
Unidad de Servicios de Salud Victoria;DG 39 SUR 3 20 ESTE;I;4.55276886;-74.09441065
Unidad de Servicios de Salud Santa Clara Hospital Universitario;KR 14 B 1 45 SUR;II;4.591287326;-74.09242934
Unidad de Servicios de Salud Diana Turbay;KR 1f 48x 40 sur;I;4.545547461;-74.10645095
Unidad de Servicios de Salud San Blas;TV 5 ESTE 19 50 SUR;I;4.56979213;-74.08328209
Unidad de Servicios de Salud Chircales;TV 5 L BIS 48 F 69 SUR;I;4.557680165;-74.11221404
Unidad de Servicios de Salud Jorge Eliecer Gaitán;KR 4 A ESTE 5 20;I;4.590109697;-74.06992231
Unidad de Servicios de Salud Perseverancia;KR 5 33 A 45;I;4.619986781;-74.06551011
Unidad de Servicios de Salud Samper Mendoza;KR 22 22 A 26;I;4.61676289;-74.08160975
Unidad de Servicios de Salud Olaya;KR 21 22 51 SUR;I;4.58373004;-74.10577165
Unidad de Servicios de Salud Centro de Servicios Especializado;KR 104 152C 50;II;4.75491944;-74.0959097
Unidad de Servicios de Salud Gaitana I;TV 126 134 88;I;4.740198364;-74.10929487
Unidad de Servicios de Salud Emaus;CL 64 C 121 76;I;4.715286266;-74.14043267
Unidad de Servicios de Salud Engativá Calle 80;TV 100 A 80 A 50;I;4.711261405;-74.10942564
Unidad de Servicios de Salud Simón Bolívar;CL 165 7 06;II;4.742429776;-74.02302477
Unidad de Servicios de Salud Chapinero;CL 66 15 41;I;4.653492976;-74.06567865
Unidad de Servicios de Salud Meissen;KR 18 B 60 G 36 SUR;II;4.559554594;-74.1387034
Unidad de Servicios de Salud El Tunal;KR 20 47B 35 SUR;II;4.57339836;-74.12877844
Unidad de Servicios de Salud Vista Hermosa;KR 18 C 66 A 55 SUR;I;4.552658624;-74.14469337
Unidad de Servicios de Salud Ambulatoria Tunjuelito;AK 14 51 21 SUR;I;4.55846294;-74.12335177
Unidad de Servicios de Salud Nazareth;Corregimiento de Nazareth de Sumapaz;I;4.17226499;-74.14686646
Unidad de Servicios de Salud Jerusalén;CL 77 85 B 13 SUR;I;4.572147614;-74.16336049
Unidad de Servicios de Salud Usme;KR 13 135 A 42 SUR;I;4.473131193;-74.12177617
Unidad de Servicios de Salud San Juan de Sumapaz;Corregimiento San Juan de Sumapáz;I;4.029029639;-74.31513144
Unidad de Servicios de Salud Santa Librada I;KR 9 B 75 49 SUR;I;4.51465648;-74.11348183
Centro de Salud Trinidad Galán;KR 60 4 15;I;4.622407222;-74.12056802
Hospital Occidente de Kennedy;TV 74 F 40 B 54 SUR;II;4.616392545;-74.15339295
Hospital Fontibón;KR 99 16i 41;I;4.671713941;-74.14617706
Hospital Pediátrico Tintal;CL 10 86 58;III;4.65094885;-74.14898465
Centro de Salud Patio Bonito;DG 38 sur 82 30;I;4.634488338;-74.16109024
Hospital de Bosa;CL 73 Sur 100 A 53;II;4.635132027;-74.20636249
Grupo Empresarial Jarbsalud Ips S.A.S.;CL 33 bis 15 64;II;4.621782838;-74.07120283
Loscobos Medical Center SAS - Loscobos;AK 9 131 A 40;II;4.71022723;-74.03280246
Clininorte 161;Ac 161 16 C 39;II;4.739910345;-74.04046285
Sociedad Medica Alcalá SAS;AK 19 135 24;II;4.72003429;-74.04646443
Clínica Nueva El Lago S.A.S - Sede Calle 76;CL 76 15 55;II;4.662943844;-74.05967674
Clínica Azul;KR 49 D 91 33;II;4.679864053;-74.06447125
Central de Urgencias Norte;CL 163 A 22 22;II;4.744373714;-74.04641604
Unidad de Urgencias Puente Aranda;KR 62 14 41;II;4.634554599;-74.11244064
